sku,_attribute_set,_product_websites,_store,_type,_root_category,_category,name,short_description,description,price,size,color,url_key,has_options,required_options,status,tax_class_id,visibility,qty,is_in_stock,manage_stock,_super_products_sku,_super_attribute_code,_super_attribute_option
2011024650247,属性セット（標準）,dannyanne,,simple,Danny&Anne,トップス,レース×天竺キャミソール/M/WHITE,（未使用）,（未使用）,5780,M,WHITE,2011024650247,0,0,1,4,1,1,1,1,,,
2011024660116,属性セット（標準）,dannyanne,,simple,Danny&Anne,トップス,バッククロスベアトップ/FREE/BLACK,（未使用）,（未使用）,3990,FREE,BLACK,2011024660116,0,0,1,4,1,1,1,1,,,
2011024660512,属性セット（標準）,dannyanne,,simple,Danny&Anne,トップス,バッククロスベアトップ/FREE/GRAY,（未使用）,（未使用）,3990,FREE,GRAY,2011024660512,0,0,1,4,1,1,1,1,,,
2011024750510,属性セット（標準）,dannyanne,,simple,Danny&Anne,トップス,レース×裏起毛スウェットプルオーバー/FREE/GRAY,（未使用）,（未使用）,12600,FREE,GRAY,2011024750510,0,0,1,4,1,1,1,1,,,
2011024760212,属性セット（標準）,dannyanne,,simple,Danny&Anne,トップス,ポンチョシャツ(WHITE)/FREE/WHITE,（未使用）,（未使用）,12600,FREE,WHITE,2011024760212,0,0,1,4,1,1,1,1,,,
2011025010217,属性セット（標準）,dannyanne,,simple,Danny&Anne,トップス,バックリボンフレアーチュニック/FREE/WHITE,（未使用）,（未使用）,10500,FREE,WHITE,2011025010217,0,0,1,4,1,1,1,1,,,
2011025010910,属性セット（標準）,dannyanne,,simple,Danny&Anne,トップス,バックリボンフレアーチュニック/FREE/YELLOW,（未使用）,（未使用）,10500,FREE,YELLOW,2011025010910,0,0,1,4,1,1,1,1,,,
2011025020131,属性セット（標準）,dannyanne,,simple,Danny&Anne,トップス,アシンメトリーフレアーヘムブラウス/S/BLACK,（未使用）,（未使用）,12600,S,BLACK,2011025020131,0,0,1,4,1,1,1,1,,,
2011025020148,属性セット（標準）,dannyanne,,simple,Danny&Anne,トップス,アシンメトリーフレアーヘムブラウス/M/BLACK,（未使用）,（未使用）,12600,M,BLACK,2011025020148,0,0,1,4,1,1,1,1,,,
2011025020438,属性セット（標準）,dannyanne,,simple,Danny&Anne,トップス,アシンメトリーフレアーヘムブラウス/S/BEIGE,（未使用）,（未使用）,12600,S,BEIGE,2011025020438,0,0,1,4,1,1,1,1,,,
